"Membership Days","Membership Days"
"Number of Completed Orders","Number of Completed Orders"
"Total Sales Amount","Total Sales Amount"
"Average Order Value","Average Order Value"
"Number of Placed Orders","Number of Placed Orders"
is,is
"is not","is not"
"equals or greater than","equals or greater than"
"equals or less than","equals or less than"
"greater than","greater than"
"less than","less than"
"is one of","is one of"
"is not one of","is not one of"
"Please choose condition","Please choose condition"
"Order Status","Order Status"
"Period after order was placed","Period after order was placed"
"If %1 %2 %3 for a subselection of items in cart matching %4 of these conditions:","If %1 %2 %3 for a subselection of items in cart matching %4 of these conditions:"
"Orders Subselection","Orders Subselection"
