"Catalog Product View (Gift Card)","Catalog Product View (Gift Card)"
"Gift Card","Gift Card"
"Gift card","Gift card"
"Add/Redeem a Gift Card","Add/Redeem a Gift Card"
"Enter Gift Card Code","Enter Gift Card Code"
"Redeem Gift Card","Redeem Gift Card"
"Add To Your List","Add To Your List"
"Required Fields","Required Fields"
"Back","Back"
"Remove","Remove"
"Check Gift card information","Check Gift card information"
"Enter your gift code","Enter your gift code"
"Gift card code","Gift card code"
"Check Gift Card","Check Gift Card"
"Result","Result"
"Balance","Balance"
"Description","Description"
"Status","Status"
"Expired at","Expired at"
"Gift Card Code Information","Gift Card Code Information"
"Gift Card Code","Gift Card Code"
"Added Date","Added Date"
"Expired Date","Expired Date"
"Permanent","Permanent"
"Comment","Comment"
"Check Shipping","Check Shipping"
"View Shipment","View Shipment"
"Track the shipment","Track the shipment"
"Gift Cards cannot be used to purchase Gift Card products","Gift Cards cannot be used to purchase Gift Card products"
"Enter Gift Card credit amount to pay for this order","Enter Gift Card credit amount to pay for this order"
"Credit","Credit"
"Use Gift Card to check out","Use Gift Card to check out"
"Gift code ","Gift code "
"Edit","Edit"
"Gift Card Amount","Gift Card Amount"
"The maximum number of times to enter gift codes is %d!","The maximum number of times to enter gift codes is %d!"
"Enter a Gift Card code","Enter a Gift Card code"
"Existed Gift Card Code","Existed Gift Card Code"
"-- Please Select --","-- Please Select --"
"Apply Gift Card","Apply Gift Card"
"Loading...","Loading..."
"Refreshing cart, please wait","Refreshing cart, please wait"
"Please change amount","Please change amount"
"Please enter your code","Please enter your code"
"Please enter or chose your code","Please enter or chose your code"
"Email Gift Card to Friend","Email Gift Card to Friend"
"Email to a Friend","Email to a Friend"
"Name:","Name:"
"Email Address:","Email Address:"
"Message:","Message:"
"Send to Friend","Send to Friend"
"Gift Card Code Details","Gift Card Code Details"
"History","History"
"Action","Action"
"Date","Date"
"Balance Change","Balance Change"
"Order","Order"
"Comments","Comments"
"N/A","N/A"
"View Order","View Order"
"Email to Friend","Email to Friend"
"Redeem","Redeem"
"Are you sure?","Are you sure?"
"My credit balance: ","My credit balance: "
"Add / Redeem a Gift Card","Add / Redeem a Gift Card"
"Add a Gift Card","Add a Gift Card"
"View detail","View detail"
"Reset Filter","Reset Filter"
"Search","Search"
"From","From"
"dateinput","dateinput"
"To","To"
"There are no items matching this selection.","There are no items matching this selection."
"My Gift Card Credit","My Gift Card Credit"
"Your current balance is: ","Your current balance is: "
"Redeem a Gift Card","Redeem a Gift Card"
"Have a Gift Card? %s to redeem it","Have a Gift Card? %s to redeem it"
"Click here","Click here"
"Balance History","Balance History"
"Items %s to %s of %s total","Items %s to %s of %s total"
"You are using","You are using"
"Apply","Apply"
"Apply...","Apply..."
"Removing Gift Card ","Removing Gift Card "
"Enter your gift code","Enter your gift code"
"or select an existing Gift Card code","or select an existing Gift Card code"
"Add Gift Card","Add Gift Card"
"Adding Gift Card...","Adding Gift Card..."
"View usage conditions of this Gift Card","View usage conditions of this Gift Card"
"Double click on above image to view full picture","Double click on above image to view full picture"
"Zoom Out","Zoom Out"
"Zoom In","Zoom In"
"More Views","More Views"
"Excl. Tax:","Excl. Tax:"
"Incl. Tax:","Incl. Tax:"
"Regular Price:","Regular Price:"
"Special Price:","Special Price:"
"Incl. Tax","Incl. Tax"
"Giftcard Title","Giftcard Title"
"Value","Value"
"Expiration Date","Expiration Date"
"Message","Message"
"Redemption","Redemption"
"To the value of","To the value of"
"Choose an image ","Choose an image "
"Select a template ","Select a template "
"Or upload your photo","Or upload your photo"
"Recommended size: ","Recommended size: "
"Enter value:","Enter value:"
"Select value:","Select value:"
"Yes","Yes"
"Send through post office","Send through post office"
"Postal Address:","Postal Address:"
"Send Gift Card to friend","Send Gift Card to friend"
"Sender name (optional):","Sender name (optional):"
"Recipient name:","Recipient name:"
"Gift Card value: <span class=""regular-price"">%s</span>","Gift Card value: <span class=""regular-price"">%s</span>"
"Recipient email address:","Recipient email address:"
"You need to fill in your friend","You need to fill in your friend"
