"Manage Gift Cards","Manage Gift Cards"
"Add New Gift Card","Add New Gift Card"
"Save Gift Card","Save Gift Card"
"Delete Gift Card","Delete Gift Card"
"Resend Gift Card","Resend Gift Card"
"Edit Gift Card \'%s\'","Edit Gift Card \'%s\'"
"New Gift Card","New Gift Card"
"Card ID","Card ID"
"Card Code","Card Code"
"Initial Value","Initial Value"
"Current Balance","Current Balance"
"Order","Order"
"View","View"
"Date Created","Date Created"
"Card Type","Card Type"
"Print","Print"
"E-mail","E-mail"
"Offline","Offline"
"Status","Status"
"Active","Active"
"Inactive","Inactive"
"Used","Used"
"Delete","Delete"
"Are you sure?","Are you sure?"
"Resend","Resend"
"Manage Gift Cards","Manage Gift Cards"
"Gift Card Information","Gift Card Information"
"Gift Card Information","Gift Card Information"
"Gift Card Info","Gift Card Info"
"Card Code","Card Code"
"Initial Value","Initial Value"
"Order","Order"
"Initial Value","Initial Value"
"Current Balance","Current Balance"
"Status","Status"
"Active","Active"
"Inactive","Inactive"
"Gift Card Type","Gift Card Type"
"E-mail","E-mail"
"Print","Print"
"Recipient Info","Recipient Info"
"Offline Address (for offline cards only)","Offline Address (for offline cards only)"
"To Name","To Name"
"To Email","To Email"
"From Name","From Name"
"Message","Message"
"Card amount is not within the specified range.","Card amount is not within the specified range."
"%s was added to your shopping cart.","%s was added to your shopping cart."
"Cannot add the item to shopping cart.","Cannot add the item to shopping cart."
"To redeem your gift card or to use your gift card balance you need to be logged in.","To redeem your gift card or to use your gift card balance you need to be logged in."
"Gift Card ""%s"" was applied.","Gift Card ""%s"" was applied."
"Gift Card ""%s"" is not valid.","Gift Card ""%s"" is not valid."
"To redeem your gift card or to use your gift card balance you need to be logged in.","To redeem your gift card or to use your gift card balance you need to be logged in."
"To redeem your gift card you need to be logged in.","To redeem your gift card you need to be logged in."
"Gift Card ""%s"" was applied.","Gift Card ""%s"" was applied."
"Gift Card ""%s"" is not valid.","Gift Card ""%s"" is not valid."
'Gift Card "%s" was used.','Gift Card "%s" was used.'
"Gift Cards","Gift Cards"
"Gift Card","Gift Card"
"Card does not exists","Card does not exists"
"Gift card was successfully saved","Gift card was successfully saved"
"Unable find gift card to save","Unable find gift card to save"
"Gift card was successfully deleted","Gift card was successfully deleted"
"Please select gift card(s)","Please select gift card(s)"
"Total of %d geftcard(s) were successfully deleted","Total of %d geftcard(s) were successfully deleted"
"Please select gift card(s)","Please select gift card(s)"
"%d giftcard(s) were successfully resent","%d giftcard(s) were successfully resent"
"There was an error processing your order. Please contact us or try again later.","There was an error processing your order. Please contact us or try again later."
"Please specify the product\'s option(s).","Please specify the product\'s option(s)."
"My Gift Cards","My Gift Cards"
"My Gift Card balance","My Gift Card balance"
"Enter the Gift Card code","Enter the Gift Card code"
"Redeem","Redeem"
"Card Type","Card Type"
"Move to Wishlist","Move to Wishlist"
"Gift Gards","Gift Gards"
"Use my Gift Card balance.","Use my Gift Card balance."
"Or redeem and use your Gift Card now:","Or redeem and use your Gift Card now:"
"Redeem and Use","Redeem and Use"
"To use your gift cards, please <a href=""%s"">register</a> or <a href=""%s"">log in</a>.","To use your gift cards, please <a href=""%s"">register</a> or <a href=""%s"">log in</a>."
"Choose the type of Gift Card","Choose the type of Gift Card"
"E-mail Gift Card (to someone or yourself)","E-mail Gift Card (to someone or yourself)"
"Print-Out Gift Card","Print-Out Gift Card"
"Amount","Amount"
"Recipient E-mail","Recipient E-mail"
"To","To"
"From","From"
"Message","Message"
"Used Gift Cards","Used Gift Cards"
"Total Gift Cards Amount","Total Gift Cards Amount"
"Redeem and use your Gift Card now","Redeem and use your Gift Card now"
"Check Gift Card Balance:","Check Gift Card Balance:"
"Purchased Gift Cards","Purchased Gift Cards"
"Used Gift Cards","Used Gift Cards"
'Pre-Generated Codes','Pre-Generated Codes'
'Gift Cards import','Gift Cards import'
'On Sale','On Sale'
'Sold','Sold'
'Export Gift Cards','Export Gift Cards'
'List ID','List ID'
'Filename','Filename'
'Date Created','Date Created'
'Action','Action'
'Download','Download'
'Export Settings','Export Settings'
'File type for export','File type for export'
'Path to file','Path to file'
'Value delimiter','Value delimiter'
'Enclose Values In','Enclose Values In'
'Export Parameters','Export Parameters'
'Cards type for export','Cards type for export'
'All','All'
'Email','Email'
'Cards status for export','Cards status for export'
'Import Gift Cards','Import Gift Cards'
'Download Gift Cards Created Lists','Download Gift Cards Created Lists'
'Create Gift Cards','Create Gift Cards'
'Import Gift Cards','Import Gift Cards'
'Path to file for Gift Cards','Path to file for Gift Cards'
'Path to export Cards Code','Path to export Cards Code'
'Count of Gift Cards','Count of Gift Cards'
'Gift Cards Amount','Gift Cards Amount'
'Import Gift Cards','Import Gift Cards'
'Import Gift Cards from CSV','Import Gift Cards from CSV'
'Gift Card Statistic','Gift Card Statistic'
'Generate Card Code','Generate Card Code'
'Enter Card Code','Enter Card Code'
'Gift Card Store','Gift Card Store'
'Order N','Order N'
'Used Amount','Used Amount'
'Balance','Balance'
'Created At','Created At'
'Recipient','Recipient'
'Used','Used'
'Action','Action'
'Import Gift Card','Import Gift Card'
'Path to file for Gift Cards','Path to file for Gift Cards'
'Gift Card "%s" was added.','Gift Card "%s" was added.'
'Gift Card "%s" was succefuly removed.','Gift Card "%s" was succefuly removed.'
'Gift Cards Export','Gift Cards Export'
"Gift Cards succesfully exported","Gift Cards succesfully exported"
'Import Gift Cards','Import Gift Cards'
'Gift Cards where succesfully imported ','Gift Cards where succesfully imported '
'An error occurred while importing Gift Cards.','An error occurred while importing Gift Cards.'
'Gift Cards List', 'Gift Cards List' 
'Download Gift Cards List','Download Gift Cards List'
