"Add to cart","Adicionar ao carrinho"
"AJAX activity indicator","Indicador de atividade AJAX"
"AJAX Cart Pro","AJAX Cart Pro"
"Cancel","Cancelar"
"Cannot add item to shopping cart","Não pode adicionar item ao carrinho de compras"
"Cart animation","Animação do carrinho"
"Choose an Option...","Escolha uma Opção..."
"Confirmation dialog will be closed after, sec (set 0 to disable)","Janela de confirmação será fechada depois de, seg (0 para desabilitar)"
"Continue shopping","Continuar comprando"
"Dialogs align","Alinhamento da janelas de diálogo"
"General","Geral"
"Item(s)","Item(s)"
"My Cart","Meu Carrinho"
"My Cart (%s item)","Meu Carrinho (%s item)"
"My Cart (%s items)","Meu Carrinho (%s items)"
"My Cart <span>(%s)</span>","Meu Carrinho <span>(%s)</span>"
"My Wishlist","Minha Lista de Desejos"
"My Wishlist (%s item)","Minha Lista de Desejos (%s item)"
"My Wishlist (%s items)","Minha Lista de Desejos (%s items)"
"or","ou"
"Please wait...","Por favor aguarde..."
"sample","amostra"
"Show confirmation dialog","Mostrar janela de cofirmação"
"Show progress animation","Mostrar animação de progresso"
"This product(s) is currently out of stock","Este produto(s) não está disponível no momento"
"View cart &amp; checkout","Ir para o carrinho"
"Wrong Qty","Qtde Incorreta"
"Qty:","Qtde:"
"Qty","Qtde"
" added to cart"," adicionado ao carrinho"
"Confirmation block after removing product from cart","Confirmação de bloqueio depois de remover o produto do carrinho"
"Confirmation block after adding product to cart","Confirmação de bloqueio depois de adicionar produto ao carrinho"
"Block editor","Bloquear editor"
"None","Nenhum"
"Opacity","Opacidade"
"Grow","Aumentar"
"Blink","Piscar"
"Top","Topo"
"Center","Centro"
"Bottom","Inferior"
"Delete Image","Apagar Imagem"
