"Add to cart","Add to cart"
"AJAX activity indicator","AJAX activity indicator"
"AJAX Cart Pro","AJAX Cart Pro"
"AJAX Cart Pro Rule","AJAX Cart Pro Rule"
"Cancel","Cancel"
"Cannot add item to shopping cart","Cannot add item to shopping cart"
"Cart animation","Cart animation"
"Choose an Option...","Choose an Option..."
"Confirmation dialog will be closed after, sec (set 0 to disable)","Confirmation dialog will be closed after, sec (set 0 to disable)"
"Continue shopping","Continue shopping"
"Dialogs align","Dialogs align"
"General","General"
"Item(s)","Item(s)"
"My Cart","My Cart"
"My Cart (%s item)","My Cart (%s item)"
"My Cart (%s items)","My Cart (%s items)"
"My Cart <span>(%s)</span>","My Cart <span>(%s)</span>"
"My Wishlist","My Wishlist"
"My Wishlist (%s item)","My Wishlist (%s item)"
"My Wishlist (%s items)","My Wishlist (%s items)"
"or","or"
"Please wait...","Please wait..."
"sample","sample"
"Show confirmation dialog","Show confirmation dialog"
"Show progress animation","Show progress animation"
"This product(s) is currently out of stock","This product(s) is currently out of stock"
"View cart &amp; checkout","View cart &amp; checkout"
"Wrong Qty","Wrong Qty"
"Qty:","Qty:"
"Qty","Qty"
" added to cart"," added to cart"
"Confirmation block after removing product from cart","Confirmation block after removing product from cart"
"Confirmation block after adding product to cart","Confirmation block after adding product to cart"
"Block editor","Block editor"
"None","None"
"Opacity","Opacity"
"Grow","Grow"
"Blink","Blink"
"Top","Top"
"Center","Center"
"Bottom","Bottom"
"Delete Image","Delete Image"
"Please specify the product option(s)","Please specify the product option(s)"
"AJAX Cart Pro Rules","AJAX Cart Pro Rules"
"Add New Rule","Add New Rule"
"New Rule","New Rule"
"Edit Rule '%s'","Edit Rule '%s'"
"Edit Rule","Edit Rule"
"Update Confirmation Block Using the Following Information","Update Confirmation Block Using the Following Information"
"Display popup for products with required options only","Display popup for products with required options only"
"Yes","Yes"
"No","No"
"Conditions (leave blank for all products)","Conditions (leave blank for all products)"
"General Information","General Information"
"Rule Name","Rule Name"
"Description","Description"
"Status","Status"
"Active","Active"
"Inactive","Inactive"
"Store View","Store View"
"Customer Groups","Customer Groups"
"From Date","From Date"
"To Date","To Date"
"Priority","Priority"
"ID","ID"
"Date Start","Date Start"
"Date Expire","Date Expire"
"Promotions","Promotions"
"The rule has been saved.","The rule has been saved."
"An error occurred while saving the rule data. Please review the log and try again.","An error occurred while saving the rule data. Please review the log and try again."
"The rule has been deleted.","The rule has been deleted."
"An error occurred while deleting the rule. Please review the log and try again.","An error occurred while deleting the rule. Please review the log and try again."
"Unable to find a rule to delete.","Unable to find a rule to delete."
"This rule no longer exists","This rule no longer exists"
"Use the option from <a href=""%s"">Global Extension Settings</a>","Use the option from <a href=""%s"">Global Extension Settings</a>"
